NO,STREETADDRESS,POSTALCODE,STATEORPROVINCE,CITY,SALESCLOSEPRICE,LISTDATE,LISTPRICE,LISTTYPE,ORIGINALLISTPRICE,PRICEPERTSFT,FOUNDATIONSIZE,FENCE,SCHOOLDISTRICTNUMBER,DAYSONMARKET,OFFMKTDATE,FIREPLACES,ROOMTYPE,ROOF,POTENTIALSHORTSALE,POOLDESCRIPTION,PDOM,GARAGEDESCRIPTION,SQFTABOVEGROUND,TAXES,TAXWITHASSESSMENTS,TAXYEAR,LIVINGAREA,UNITNUMBER,YEARBUILT,ZONING,STYLE,ACRES,COOLINGDESCRIPTION,APPLIANCES,BACKONMARKETDATE,EXTERIOR,DININGROOMDESCRIPTION,BASEMENT,BATHSFULL,BATHSHALF,BATHQUARTER,BATHSTHREEQUARTER,CLASS,BATHSTOTAL,BATHDESC,BEDROOMS,SQFTBELOWGROUND,ASSUMABLEMORTGAGE,ASSOCIATIONFEE,ASSESSMENTPENDING,ASSESSEDVALUATION
1586,1676 Montana Ave E,55106,MN,STP - Saint Paul,154500,4/18/17 0:00,150000,Exclusive Right,150000,161.6109,956,,625 - St. Paul,2,5/4/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom",Asphalt Shingles,No,,2,Detached Garage,956,1882,1940,2017,956,,1950,Residential-Single,(SF) One Story,0.14,Central,"Range, Refrigerator, Washer, Dryer",,Metal,Living/Dining Room,Full,1,0,0,0,SF,1,Main Floor Full Bath,2,0,,0,Unknown,58
1587,1028 Avon St N,55103,MN,STP - Saint Paul,147000,3/31/17 0:00,150000,Exclusive Right,155000,163.3333,624,,625 - St. Paul,29,4/29/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Porch",Asphalt Shingles,No,,18,"Detached Garage, Driveway - Asphalt, Garage Door Opener",900,1964,2208,2016,900,,1911,Residential-Single,(SF) One 1/2 Stories,0.11,Central,"Range, Dishwasher, Refrigerator, Washer, Dryer",,Wood,,Full,1,0,0,0,SF,1,Main Floor Full Bath,2,0,,0,Unknown,244
1588,286 Banfil St,55102,MN,STP - Saint Paul,150000,3/25/17 0:00,150000,Exclusive Right,150000,152.439,984,Other,625 - St. Paul,17,4/11/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom",Asphalt Shingles,No,,17,Detached Garage,984,2226,2538,2017,984,,1884,Residential-Single,(SF) One Story,0.11,Central,"Range, Microwave, Exhaust Fan/Hood, Dishwasher, Refrigerator, Freezer, Washer, Dryer",,Metal,"Informal Dining Room, Eat In Kitchen",Partial,1,0,0,0,SF,1,Main Floor Full Bath,2,0,,0,No,312.5
1589,"1729 Hague Ave, 1",55104,MN,STP - Saint Paul,151000,3/24/17 0:00,150000,Exclusive Right,150000,161.4973,935,None,625 - St. Paul,10,5/26/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Sun Room, Walk-In Closet","Flat, Age Over 8 Years, Rubber",No,None,10,"Uncovered/Open, Driveway - Asphalt, Assigned",935,1888,1944,2017,935,1,1914,Residential-Single,(CC) Low Rise (3- Levels),0.02,Window,"Range, Dishwasher, Refrigerator",,"Stucco, Brick/Stone",Informal Dining Room,Full,1,0,0,0,SF,1,Main Floor Full Bath,1,0,,245,No,56
1590,840 Tatum St,55104,MN,STP - Saint Paul,143900,3/17/17 0:00,150000,Exclusive Right,150000,148.3505,700,,625 - St. Paul,61,5/17/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom",Asphalt Shingles,No,None,61,Detached Garage,970,2067,2620,2016,970,,1893,Residential-Single,(SF) Two Stories,0.12,Central,"Range, Washer, Dryer",,Fiber Board,,Unfinished,1,0,0,0,SF,1,Main Floor Full Bath,2,0,Not Assumable,0,Unknown,553
1591,710 Lafond Ave,55104,MN,STP - Saint Paul,150730,3/2/17 0:00,150000,Exclusive Right,150000,97.2452,896,Chain Link,625 - St. Paul,13,3/15/17 0:00,0,"Living Room, Dining Room, , Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, , Sitting Room, Deck, Porch, Office",Asphalt Shingles,No,,13,"Detached Garage, Garage Door Opener",1550,1431,2270,2016,1550,,1902,Residential-Single,(SF) Two Stories,0.11,Window,"Range, Exhaust Fan/Hood, Dishwasher, Refrigerator, Freezer, Washer, Dryer",,Stucco,"Separate/Formal Dining Room, Eat In Kitchen",Partial,1,0,0,0,SF,1,Upper Level Full Bath ,3,0,Information Coming,0,Yes,839
1592,851 Tuscarora Ave,55102,MN,STP - Saint Paul,135000,2/25/17 0:00,150000,Exclusive Right,150000,81.3253,1286,,625 - St. Paul,0,3/14/17 0:00,0,"Living Room, Dining Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Fifth (5th) Bedroom, Sitting Room",Age 8 Years or Less,No,,0,Other,1660,1757,2090,2016,1660,,1922,Residential-Single,(SF) Two Stories,0.11,Central,"Range, Refrigerator",,Stucco,,Full,2,1,0,0,SF,3,"Main Floor Full Bath, Basement",5,0,,0,Yes,109.98
1593,1357 Magnolia Ave E,55106,MN,STP - Saint Paul,149750,7/7/17 0:00,152000,Exclusive Right,152000,86.5607,810,,625 - St. Paul,17,7/24/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Loft, Storage Room",Asphalt Shingles,No,,17,"Tuckunder, Insulated Garage, Driveway - Asphalt, Garage Door Opener",1620,1856,1918,2017,1730,,2006,Residential-Single,(TH) Side x Side,0,Central,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal",,Wood,"Informal Dining Room, Eat In Kitchen, Living/Dining Room","Walkout, Partial, Finished (Livable)",1,1,0,0,SF,2,"Main Floor 1/2 Bath, Upper Level Full Bath ",2,110,Not Assumable,245,Yes,61.9
1594,"78 10th St E, R1803",55101,MN,STP - Saint Paul,152500,10/20/17 0:00,152500,Exclusive Right,152500,239.7799,636,,625 - St. Paul,45,12/10/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Deck, Foyer",Metal,No,,45,"Attached Garage, Covered, Assigned",636,1393,1528,2017,636,R1803,1987,Residential-Single,(CC) High Rise (4+ Levels),0,Central,"Range, Microwave, Dishwasher, Refrigerator, Disposal",,Brick/Stone,Living/Dining Room,None,1,0,0,0,SF,1,Main Floor Full Bath,1,0,Not Assumable,376,No,135
1595,"523 Jackson St, #203",55101,MN,STP - Saint Paul,149000,10/2/17 0:00,152500,Exclusive Right,154900,183.9506,810,,625 - St. Paul,49,11/20/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Foyer, Walk-In Closet, Storage Room",,No,,17,"More Parking Onsite for Fee, More Parking Offsite for Fee, Assigned",810,1334,1392,2017,810,#203,1915,"Residential-Multi-Family, Business/Commercial",(CC) Low Rise (3- Levels),0,Central,"Range, Microwave, Dishwasher, Refrigerator",,Brick/Stone,,None,1,0,0,0,SF,1,Main Floor Full Bath,0,0,,265,No,58.2
1596,"78 10th St E, 2306",55101,MN,STP - Saint Paul,150000,8/30/17 0:00,152500,Exclusive Right,152500,235.8491,636,,625 - St. Paul,29,9/28/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Foyer, Deck",Metal,No,,29,"Attached Garage, Covered, Secured, Assigned, Garage Door Opener",636,1464,1522,2017,636,2306,1987,Residential-Single,(CC) High Rise (4+ Levels),0,Central,"Range, Microwave, Exhaust Fan/Hood, Dishwasher, Refrigerator, Washer, Dryer, Disposal",,Brick/Stone,Living/Dining Room,None,0,0,0,1,SF,1,Main Floor 3/4 Bath,1,0,,377,Yes,58
1597,1306 3rd St E,55106,MN,STP - Saint Paul,164000,4/11/17 0:00,153000,Exclusive Right,153000,102.2444,978,,625 - St. Paul,9,4/20/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Screened Porch, Foyer, Sitting Room, Den",,No,None,9,Detached Garage,1334,701,844,2016,1604,,1939,Residential-Single,(SF) One 1/2 Stories,0.13,Central,"Range, Microwave, Refrigerator, Washer, Dryer",,Stucco,"Informal Dining Room, Eat In Kitchen","Full, Concrete Block",1,0,0,1,SF,2,"Main Floor Full Bath, 3/4 Basement",3,270,Not Assumable,0,Unknown,143
1598,1001 Wilson Ave E,55106,MN,STP - Saint Paul,153000,8/24/17 0:00,154000,Exclusive Right,154000,122.2045,652,"Wood, Chain Link, Privacy",625 - St. Paul,21,9/14/17 0:00,0,"Living Room, Dining Room, , Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom","Asphalt Shingles, Pitched, Age 8 Years or Less",No,,21,"Detached Garage, Driveway - Concrete",1252,1672,1730,2017,1252,,1911,Residential-Single,(SF) Two Stories,0.12,Window,"Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer",,Stucco,Separate/Formal Dining Room,"Full, Unfinished",1,0,0,0,SF,1,Upper Level Full Bath ,4,0,Not Assumable,0,No,58.2
1599,1674 Margaret St,55106,MN,STP - Saint Paul,156000,11/10/17 0:00,154900,Exclusive Right,154900,126.0097,648,"Chain Link, Full",625 - St. Paul,14,11/24/17 0:00,0,"Living Room, , Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, , Den",,No,,14,"Detached Garage, Carport",888,2176,2234,2017,1238,,1941,Residential-Single,(SF) One 1/2 Stories,0.11,Central,"Range, Refrigerator",,Vinyl,,"Full, Finished (Livable)",1,0,0,0,SF,1,Main Floor Full Bath,3,350,,0,No,58
1600,605 Cook Ave E,55130,MN,STP - Saint Paul,160000,10/31/17 0:00,154900,Exclusive Right,160000,115.4401,888,None,625 - St. Paul,38,12/8/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Porch, Pantry (Walk-In)","Asphalt Shingles, Pitched, Age 8 Years or Less",No,,11,"Detached Garage, Driveway - Concrete, Garage Door Opener",1386,993,993,2017,1386,,1900,Residential-Single,(SF) One 1/2 Stories,0.11,None,"Range, Refrigerator, Washer, Dryer",,Vinyl,Separate/Formal Dining Room,"Partial, Stone",1,1,0,0,SF,2,"Main Floor 1/2 Bath, Upper Level Full Bath ",3,0,Not Assumable,0,No,858
1601,1095 Barclay St,55106,MN,STP - Saint Paul,154900,10/13/17 0:00,154900,Exclusive Right,154900,103.9597,750,,625 - St. Paul,14,10/27/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom",Asphalt Shingles,No,,14,Attached Garage,1490,1317,1458,2017,1490,,2005,Residential-Single,(TH) Side x Side,0.04,Central,"Range, Exhaust Fan/Hood, Dishwasher, Refrigerator, Washer, Dryer",,"Wood, Shakes, Vinyl, Brick/Stone","Breakfast Area, Kitchen/Dining Room, Living/Dining Room",None,1,1,0,0,SF,2,"Main Floor 1/2 Bath, Upper Level Full Bath ",2,0,,230,Unknown,141
1602,1985 Nortonia Ave,55119,MN,STP - Saint Paul,157000,10/3/17 0:00,154900,Exclusive Right,154900,135.8131,816,Chain Link,625 - St. Paul,3,10/6/17 0:00,0,"Living Room, Dining Room, , Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, , Bonus Room, Laundry",Asphalt Shingles,No,None,3,"Detached Garage, Driveway - Concrete",816,1676,2052,2017,1156,,1925,Residential-Single,(SF) One Story,0.15,Window,"Range, Dishwasher, Refrigerator, Washer, Dryer",,Stucco,Informal Dining Room,"Full, Finished (Livable)",1,0,0,1,SF,2,"Main Floor Full Bath, 3/4 Basement",3,340,,0,Yes,376
1603,1948 Nebraska Ave E,55119,MN,STP - Saint Paul,156280,9/7/17 0:00,154900,Exclusive Right,154900,166.7876,720,,625 - St. Paul,27,10/4/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Bonus Room, Bonus Room","Asphalt Shingles, Age 8 Years or Less",No,,27,"Detached Garage, Covered, Carport, Garage Door Opener",720,1616,1668,2017,937,,1945,Residential-Single,(SF) One Story,0.115,Window,"Range, Refrigerator, Washer, Dryer",,"Metal, Vinyl",Breakfast Area,"Full, Drain Tiled, Sump Pump",1,0,0,1,SF,2,"Main Floor Full Bath, 3/4 Basement",2,217,,0,Unknown,58
1604,1131 Sherburne Ave,55104,MN,STP - Saint Paul,150000,8/15/17 0:00,154900,Exclusive Right,159900,123.3553,816,Wire,625 - St. Paul,83,11/6/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom",Asphalt Shingles,No,,35,Detached Garage,816,1922,1922,2017,1216,,1954,Residential-Single,(SF) One Story,0.112,Central,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer",,"Metal, Vinyl","Informal Dining Room, Eat In Kitchen","Full, Partial Finished",1,0,0,1,SF,2,"Main Floor Full Bath, 3/4 Basement",2,400,,0,No,0
1605,785 Jessamine Ave E,55106,MN,STP - Saint Paul,157900,6/20/17 0:00,154900,Exclusive Right,154900,110.2654,750,,625 - St. Paul,18,7/8/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, , Porch",,No,,18,Detached Garage,1432,1516,1570,2016,1432,,1904,Residential-Single,(SF) Two Stories,0.11,Window,,,"Metal, Vinyl",,"Full, Unfinished",1,1,0,0,SF,2,,3,0,,0,Unknown,54
1606,910 Sherwood Ave,55106,MN,STP - Saint Paul,162000,4/21/17 0:00,154900,Exclusive Right,154900,143.617,832,Wood,625 - St. Paul,6,5/12/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom","Asphalt Shingles, Age Over 8 Years",No,,6,Detached Garage,832,1866,1866,2016,1128,,1950,Residential-Single,(SF) One Story,0.12,Central,"Range, Refrigerator, Washer, Dryer",,Wood,,Full,1,0,0,0,SF,1,Main Floor Full Bath,2,296,,0,No,0
1607,249 Geranium Ave W,55117,MN,STP - Saint Paul,154900,4/7/17 0:00,154900,Exclusive Right,169000,117.8843,876,,625 - St. Paul,39,5/16/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom",,No,,13,None,1314,1574,1574,2016,1314,,1884,Residential-Single,(SF) One 1/2 Stories,0.163,"Central, Window",,,Wood,,Unfinished,2,0,0,0,SF,2,,3,0,,0,No,0
1608,1637 Arlington Ave E,55106,MN,STP - Saint Paul,165000,4/6/17 0:00,154900,Exclusive Right,154900,141.6309,832,"Chain Link, Full",625 - St. Paul,4,4/10/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Den",Asphalt Shingles,No,,4,Driveway - Asphalt,1165,1689,2070,2016,1165,,1946,Residential-Single,(SF) One 1/2 Stories,0.14,Central,"Range, Refrigerator, Washer, Dryer",,Vinyl,,"Full, Concrete Block",1,0,0,0,SF,1,Main Floor Full Bath,3,0,,0,Unknown,381
1609,"1889 Carroll Ave, 1",55104,MN,STP - Saint Paul,135250,3/30/17 0:00,154900,Exclusive Right,154900,144.6524,935,Partial,625 - St. Paul,52,6/8/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Storage Room",Asphalt Shingles,No,,52,Detached Garage,935,1644,1644,2016,935,1,1885,"Residential-Single, Residential-Multi-Family",(CC) Low Rise (3- Levels),0,None,"Range, Exhaust Fan/Hood, Dishwasher, Refrigerator, Washer, Dryer",,Vinyl,"Separate/Formal Dining Room, Eat In Kitchen",Full,1,0,0,0,SF,1,Main Floor Full Bath,2,0,,270,Unknown,0
1610,627 Elfelt St,55103,MN,STP - Saint Paul,159000,3/24/17 0:00,154900,Exclusive Right,164900,103.1128,648,,625 - St. Paul,25,4/18/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom",,No,,8,Detached Garage,1302,2286,2286,2016,1542,,1915,Residential-Single,(SF) Two Stories,0.17,Central,"Cooktop, Wall Oven, Refrigerator, Washer, Dryer",,Vinyl,,"Full, Partial Finished, Egress Windows",1,0,0,1,SF,2,,4,240,,0,No,0
1611,936 Rose Ave E,55106,MN,STP - Saint Paul,155000,3/20/17 0:00,154900,Exclusive Right,159900,82.4907,981,"Wood, Chain Link",625 - St. Paul,24,4/13/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Second Kitchen",,No,,9,Detached Garage,1379,1852,1906,2016,1879,,1950,Residential-Single,(SF) One 1/2 Stories,0.11,Central,"Range, Exhaust Fan/Hood, Freezer, Washer, Dryer",,Stucco,"Separate/Formal Dining Room, Eat In Kitchen","Full, Finished (Livable), Egress Windows",2,0,0,0,SF,2,"Main Floor Full Bath, Full Basement",4,500,Not Assumable,0,Yes,54
1612,"1729 Hague Ave, 3",55104,MN,STP - Saint Paul,157000,3/13/17 0:00,154900,Exclusive Right,154900,173.8649,903,,625 - St. Paul,15,3/28/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Porch, Pantry (Walk-In), Storage Room, Foyer","Asphalt Shingles, Age Over 8 Years",No,None,15,Assigned,903,1560,1560,2017,903,3,1914,Residential-Single,(CC) Low Rise (3- Levels),0,None,"Range, Microwave, Exhaust Fan/Hood, Dishwasher, Refrigerator, Washer, Dryer, Disposal",,Brick/Stone,"Separate/Formal Dining Room, Living/Dining Room",Full,1,0,0,0,SF,1,Main Floor Full Bath,2,0,,170,No,0
1613,685 Orange Ave E,55106,MN,STP - Saint Paul,160000,3/1/17 0:00,154900,Exclusive Right,154900,142.0959,720,Wood,625 - St. Paul,2,3/10/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom","Asphalt Shingles, Age 8 Years or Less",No,,2,Detached Garage,1126,1732,1786,2016,1126,,1941,Residential-Single,(SF) One 1/2 Stories,0.11,Window,"Range, Microwave, Refrigerator, Washer, Disposal",,Stucco,Living/Dining Room,Full,1,0,0,0,SF,1,Main Floor Full Bath,3,0,Not Assumable,0,Unknown,54
1614,"1113 Barclay St, 1113",55106,MN,STP - Saint Paul,160000,11/28/17 0:00,154910,Exclusive Right,154910,121.673,650,,625 - St. Paul,31,12/29/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Loft",,No,,31,Attached Garage,1315,1478,1520,2017,1315,1113,2007,Residential-Single,(TH) Side x Side,0.03,Central,"Range, Microwave, Exhaust Fan/Hood, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal",,"Brick/Stone, Cement Board",Informal Dining Room,None,1,1,0,0,SF,2,,2,0,,230,Yes,42
1615,450 Brainerd Ave,55130,MN,STP - Saint Paul,160000,7/27/17 0:00,154980,Exclusive Right,159980,149.8127,704,,625 - St. Paul,32,8/28/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom",,No,,12,Detached Garage,1068,1184,2898,2016,1068,,1906,Residential-Single,(SF) One 1/2 Stories,0.11,Central,,,Vinyl,,Full,1,0,0,0,SF,1,,2,0,,0,Unknown,1800
1616,840 Sims Ave,55106,MN,STP - Saint Paul,157500,7/28/17 0:00,154990,Exclusive Right,154990,116.322,1062,Chain Link,625 - St. Paul,14,8/11/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom","Asphalt Shingles, Pitched, Age Over 8 Years",No,None,14,"Detached Garage, Driveway - Concrete, Garage Door Opener",1354,1264,1754,2016,1354,,1941,Residential-Single,(SF) One 1/2 Stories,0.21,Central,"Range, Refrigerator, Washer, Dryer",,"Metal, Vinyl",Separate/Formal Dining Room,Full,1,1,0,1,SF,3,"Main Floor Full Bath, 3/4 Master, 1/2 Basement",2,0,Not Assumable,0,Yes,490
1617,977 Fuller Ave,55104,MN,STP - Saint Paul,155000,11/9/17 0:00,155000,Exclusive Right,155000,182.9988,484,Chain Link,625 - St. Paul,15,11/24/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom",Age Over 8 Years,No,None,15,Detached Garage,847,598,938,2017,847,,1913,Residential-Single,(SF) One 1/2 Stories,0.106,None,"Range, Microwave, Exhaust Fan/Hood, Dishwasher, Refrigerator",,Vinyl,Separate/Formal Dining Room,"Full, Day/Lookout Windows, Unfinished",1,0,0,0,SF,1,Upper Level Full Bath ,2,0,,0,Unknown,340
1618,1674 Idaho Ave E,55106,MN,STP - Saint Paul,156000,10/13/17 0:00,155000,Exclusive Right,155000,178.2857,875,Chain Link,625 - St. Paul,10,10/23/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom","Asphalt Shingles, Age Over 8 Years",No,,10,"Detached Garage, Driveway - Concrete",875,1824,1824,2017,875,,1953,Residential-Single,(SF) One Story,0.14,Central,"Range, Exhaust Fan/Hood, Refrigerator, Washer, Dryer",,Vinyl,"Eat In Kitchen, Living/Dining Room","Full, Concrete Block",1,0,0,0,SF,1,Main Floor Full Bath,3,0,,0,No,0
1619,"78 10th St E, R1506",55101,MN,STP - Saint Paul,155000,9/22/17 0:00,155000,Exclusive Right,155000,243.7107,636,,625 - St. Paul,76,12/7/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Deck, Foyer",,No,"Indoor, Heated",76,"Attached Garage, Covered, Driveway - Concrete, Assigned, Garage Door Opener",636,1788,1846,2017,636,R1506,1987,Residential-Multi-Family,(CC) High Rise (4+ Levels),0,Central,"Range, Microwave, Dishwasher, Refrigerator, Disposal",,Brick/Stone,Living/Dining Room,None,1,0,0,0,SF,1,Main Floor Full Bath,1,0,,376,Unknown,58
1620,1090 Virginia St,55117,MN,STP - Saint Paul,158600,9/21/17 0:00,155000,Exclusive Right,155000,177.4049,828,None,625 - St. Paul,23,10/14/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Porch, Deck","Asphalt Shingles, Age 8 Years or Less",No,,23,"Detached Garage, Driveway - Other Surface, Garage Door Opener",894,1168,1226,2017,894,,1923,Residential-Single,(SF) One 1/2 Stories,0.127,Central,"Range, Refrigerator, Washer, Dryer",,"Stucco, Brick/Stone","Eat In Kitchen, Living/Dining Room","Full, Concrete Block",1,0,0,0,SF,1,Main Floor Full Bath,2,0,Not Assumable,0,No,58
1621,1705 Fremont Ave,55106,MN,STP - Saint Paul,163000,9/14/17 0:00,155000,Exclusive Right,155000,120.384,978,"Wood, Partial",625 - St. Paul,4,9/29/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom",Asphalt Shingles,No,None,4,"Detached Garage, Driveway - Asphalt",978,2016,2074,2017,1354,,1955,Residential-Single,(SF) One Story,0.14,Central,"Range, Cooktop, Dishwasher, Refrigerator, Washer, Dryer, Disposal",,Stucco,Separate/Formal Dining Room,"Full, Partial Finished, Concrete Block",1,1,0,0,SF,2,"Main Floor Full Bath, 1/2 Basement",2,376,Not Assumable,0,Unknown,58
1622,"544 Portland Ave, 3",55102,MN,STP - Saint Paul,150000,8/24/17 0:00,155000,Exclusive Right,160000,146.3415,914,Wood,625 - St. Paul,43,10/6/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Loft, Storage Room",,No,,21,None,1025,2582,2582,2017,1025,3,1888,Residential-Multi-Family,(CC) Converted Mansion,0,Window,"Range, Dishwasher, Refrigerator, Washer, Dryer",,"Shakes, Brick/Stone",,"Full, Unfinished",1,0,0,0,SF,1,,1,0,,350,No,0
